Type of Incident,Type  Location,Year of Incident,Location1,Zip Code,Update Date,Latitude,Longitude,Day of Week
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1100 S HAMPTON RD
DALLAS, TX 75208
(32.734443, -96.85677)",75208,11/17/2017 21:44,32.734443,-96.85677,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"12200 N CENTRAL EXPY
DALLAS, TX 75243
(32.915891, -96.767736)",75243,12/29/2017 10:03,32.915891,-96.767736,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"9300 LARGA DR
DALLAS, TX 75220
(32.863307, -96.865252)",75220,4/28/2017 17:04,32.863307,-96.865252,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"100 S CROWDUS ST
DALLAS, TX 75226
(32.783919, -96.783391)",75226,2/15/2017 7:29,32.783919,-96.783391,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"3800 W ILLINOIS AVE
DALLAS, TX 75211
(32.720279, -96.881996)",75211,12/3/2018 6:08,32.720279,-96.881996,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"9900 MARSH LN
DALLAS, TX 75220
(32.876976, -96.856082)",75220,10/30/2017 19:53,32.876976,-96.856082,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1400 E ILLINOIS AVE
DALLAS, TX 75216
(32.720022, -96.804245)",75216,9/6/2017 9:42,32.720022,-96.804245,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"3619 SHELLEY BLVD
DALLAS, TX 75211
(32.728305, -96.880113)",75211,3/21/2017 16:53,32.728305,-96.880113,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"5600 E LOVERS LN
DALLAS, TX 75206
(32.851005, -96.771024)",75206,11/29/2018 13:22,32.851005,-96.771024,Thursday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2017,"5400 MAPLE AVE
DALLAS, TX 75235
(32.818722, -96.833343)",75235,11/1/2017 20:01,32.818722,-96.833343,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2500 MANANA DR
DALLAS, TX 75220
(32.873856, -96.892051)",75220,11/30/2017 15:19,32.873856,-96.892051,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"3000 REYNOLDS
DALLAS, TX 75223
(32.786411, -96.743118)",75223,12/25/2017 0:21,32.786411,-96.743118,Monday
ACCIDENT INVOLVING INJURY,Single Family Residence - Occupied,2017,"11419 RUPLEY LN
DALLAS, TX 75218
(32.854884, -96.682333)",75218,12/11/2017 4:21,32.854884,-96.682333,Monday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2017,"2222 N STEMMONS FWY
DALLAS, TX 75207
(32.803164, -96.832289)",75207,7/31/2017 17:57,32.803164,-96.832289,Monday
ACCIDENTAL DEATH (NO OFFENSE),Apartment Complex/Building,2018,"6415 MELODY LN
DALLAS 75231
(32.864328, -96.753403)",75231,8/20/2018 9:43,32.864328,-96.753403,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2700 S BUCKNER BLVD
DALLAS, TX 75227
(32.758441, -96.682738)",75227,9/15/2017 13:58,32.758441,-96.682738,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1700 N CENTRAL EXPY
DALLAS, TX 75201
(32.792683, -96.793136)",75201,3/7/2017 10:13,32.792683,-96.793136,Tuesday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2017,"2848 CYPRESS AVE
DALLAS, TX 75227
(32.7611, -96.66186)",75227,1/8/2018 9:13,32.7611,-96.66186,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"9600 LAKE JUNE RD
DALLAS, TX 75217
(32.733999, -96.655892)",75217,12/23/2014 18:11,32.733999,-96.655892,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2700 LOMBARDY LN
DALLAS, TX 75220
(32.866394, -96.88108)",75220,8/9/2017 17:59,32.866394,-96.88108,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"3900 S BUCKNER BLVD
DALLAS, TX 75227
(32.771312, -96.682632)",75227,9/20/2017 18:35,32.771312,-96.682632,Wednesday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2017,"10200 WEBB CHAPEL RD
DALLAS, TX 75229
(32.884475, -96.865729)",75229,3/20/2017 7:17,32.884475,-96.865729,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2017,"400 S ADAMS AVE
DALLAS, TX 75208
(32.742311, -96.830189)",75208,1/27/2017 16:39,32.742311,-96.830189,Friday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2017,"2422 OATES DR
DALLAS, TX 75228
(32.821442, -96.673621)",75228,10/6/2017 10:01,32.821442,-96.673621,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"8400 WESTCHESTER DR
DALLAS, TX 75225
(32.865175, -96.806554)",75225,5/15/2017 18:23,32.865175,-96.806554,Monday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2017,"10600 FOREST LN
DALLAS, TX 75243
(32.90897, -96.702206)",75243,10/31/2017 17:13,32.90897,-96.702206,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"8600 W CAMP WISDOM RD
DALLAS, TX 75249
(32.654534, -96.983363)",75249,4/10/2017 10:30,32.654534,-96.983363,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"300 S FITZHUGH AVE
DALLAS, TX 75226
(32.794117, -96.762471)",75226,7/23/2017 12:35,32.794117,-96.762471,Sunday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2017,"5000 MILITARY PKWY
DALLAS, TX 75223
(32.783712, -96.73031)",75223,9/28/2017 18:55,32.783712,-96.73031,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1100 S BEACON ST
DALLAS, TX 75223
(32.793273, -96.746859)",75223,11/28/2017 9:27,32.793273,-96.746859,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2300 W JEFFERSON BLVD
DALLAS, TX 75208
(32.747328, -96.855791)",75208,10/19/2017 12:54,32.747328,-96.855791,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"1500 REGAL ROW
DALLAS, TX 75247
(32.834235, -96.877501)",75247,2/5/2016 8:47,32.834235,-96.877501,Friday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2017,"1410 E ILLINOIS AVE
DALLAS, TX 75216
(32.720022, -96.80427)",75216,10/2/2017 16:33,32.720022,-96.80427,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2900 S BUCKNER BLVD
DALLAS, TX 75227
(32.761011, -96.682697)",75227,12/18/2017 10:12,32.761011,-96.682697,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"3300 W NORTHWEST HWY
DALLAS, TX 75220
(32.856009, -96.864355)",75220,2/19/2018 10:49,32.856009,-96.864355,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5000 N CENTRAL EXPY
DALLAS, TX 75206
(32.827369, -96.78302)",75206,5/30/2016 23:57,32.827369,-96.78302,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3200 S CENTRAL EXPY
DALLAS, TX 75215
(32.762679, -96.772209)",75215,11/11/2014 0:40,32.762679,-96.772209,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Motor Vehicle,2014,"3626 PINEBROOK DR
DALLAS, TX 75241
(32.668028, -96.763068)",75241,2/19/2018 23:53,32.668028,-96.763068,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"6300 E LOVERS LN
DALLAS, TX 75214
(32.850873, -96.755078)",75214,2/10/2015 23:00,32.850873,-96.755078,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3000 SPRINGVIEW AVE
DALLAS, TX 75216
(32.714132, -96.775768)",75216,10/27/2016 14:48,32.714132,-96.775768,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"3700 OAK LAWN AVE
DALLAS, TX 75219
(32.813625, -96.803446)",75219,12/31/2015 15:38,32.813625,-96.803446,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5700 LEMMON AVE
DALLAS, TX 75209
(32.829936, -96.826405)",75209,8/23/2016 15:36,32.829936,-96.826405,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"10700 HARRY HINES BLVD
DALLAS, TX 75220
(32.872408, -96.883275)",75220,2/19/2018 22:46,32.872408,-96.883275,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2800 MCKINNEY AVE
DALLAS, TX 75204
(32.798578, -96.801132)",75204,10/4/2017 0:41,32.798578,-96.801132,Wednesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2014,"11000 WALNUT HILL LN
DALLAS, TX 75238
(32.878716, -96.693009)",75238,2/19/2018 23:40,32.878716,-96.693009,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"2000 N MASTERS DR
DALLAS, TX 75217
(32.746565, -96.648199)",75217,8/12/2016 11:56,32.746565,-96.648199,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"8100 HOYLE AVE
DALLAS, TX 75227
(32.774302, -96.681898)",75227,9/21/2017 12:40,32.774302,-96.681898,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2014,"200 E SANER AVE
DALLAS, TX 75216
(32.713138, -96.821182)",75216,11/25/2014 18:03,32.713138,-96.821182,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"2500 E 11TH ST
DALLAS, TX 75203
(32.746361, -96.791597)",75203,5/22/2015 6:51,32.746361,-96.791597,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"13100 EMILY RD
DALLAS, TX 75240
(32.926313, -96.767387)",75240,7/24/2017 15:59,32.926313,-96.767387,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2800 N CENTRAL EXPY
DALLAS, TX 75204
(32.806069, -96.792884)",75204,8/29/2014 12:02,32.806069,-96.792884,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2501 WEBB CHAPEL EXT
DALLAS, TX 75220
(32.853082, -96.875312)",75220,2/20/2018 4:22,32.853082,-96.875312,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"4500 LIVE OAK ST
DALLAS, TX 75204
(32.799576, -96.776116)",75204,4/27/2015 5:37,32.799576,-96.776116,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"2600 LOMBARDY LN
DALLAS, TX 75220
(32.866456, -96.885803)",75220,5/31/2016 9:23,32.866456,-96.885803,Tuesday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2017,"3250 LITTLE RIVER DR
DALLAS, TX 75241
(32.662738, -96.770425)",75241,2/28/2019 16:10,32.662738,-96.770425,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"9410 WEBB CHAPEL RD
DALLAS, TX 75220
(32.861059, -96.857995)",75220,2/19/2018 0:42,32.861059,-96.857995,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"10000 GARLAND RD
DALLAS, TX 75218
(32.838298, -96.696472)",75218,8/29/2016 13:05,32.838298,-96.696472,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2201 N CENTRAL EXPY
DALLAS, TX 75204
(32.798793, -96.793404)",75204,3/12/2015 11:55,32.798793,-96.793404,Thursday
ACCIDENT INVOLVING INJURY,Bar/NightClub/DanceHall ETC.,2017,"4207 MAPLE AVE
DALLAS, TX 75219
(32.807544, -96.81802)",75219,9/25/2017 10:38,32.807544,-96.81802,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"5400 S LAMAR ST
DALLAS, TX 75215
(32.742263, -96.758692)",75215,10/6/2016 8:39,32.742263,-96.758692,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"4800 SUNNYVALE ST
DALLAS, TX 75216
(32.695182, -96.772426)",75216,2/19/2018 4:32,32.695182,-96.772426,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"1500 N COCKRELL HILL RD
DALLAS, TX 75211
(32.762209, -96.894674)",75211,12/20/2016 13:27,32.762209,-96.894674,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"600 CORINTH ST
DALLAS, TX 75207
(32.761711, -96.792811)",75207,6/29/2015 22:20,32.761711,-96.792811,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"9700 FOREST LN
DALLAS, TX 75243
(32.90945, -96.721818)",75243,1/10/2015 12:49,32.90945,-96.721818,Saturday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2016,"1800 DANCLIFF DR
DALLAS, TX 75224
(32.698338, -96.849821)",75224,5/2/2016 13:27,32.698338,-96.849821,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2018,"2400 MCKINNEY AVE
DALLAS, TX 75201
(32.794713, -96.802243)",75201,2/21/2018 3:17,32.794713,-96.802243,Wednesday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2017,"5534 W HANOVER AVE
DALLAS, TX 75209
(32.855239, -96.817593)",75209,2/28/2019 15:25,32.855239,-96.817593,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"11820 ABRAMS RD
DALLAS, TX 75243
(32.910119, -96.73539)",75243,8/7/2015 15:30,32.910119,-96.73539,Friday
ACCIDENTAL DEATH (NO OFFENSE),Outdoor Area Public/Private,2016,"8816 LAKE JUNE RD
DALLAS, TX 75217
(32.734085, -96.667957)",75217,9/1/2016 2:25,32.734085,-96.667957,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"12400 JUPITER RD
DALLAS, TX 75238
(32.863434, -96.683218)",75238,2/19/2018 3:51,32.863434,-96.683218,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7900 CLIFFBROOK DR
DALLAS, TX 75254
(32.945827, -96.770334)",75254,2/19/2018 11:16,32.945827,-96.770334,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Convenience Store,2014,"4703 MAPLE AVE
DALLAS, TX 75219
(32.813627, -96.825206)",75219,9/22/2014 10:13,32.813627,-96.825206,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"1400 S BUCKNER BLVD
DALLAS, TX 75217
(32.736027, -96.682834)",75217,12/27/2016 11:27,32.736027,-96.682834,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"17530 MARSH LN
DALLAS, TX 75287
(32.989231, -96.854657)",75287,8/27/2015 15:00,32.989231,-96.854657,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2215 CEDAR SPRINGS RD
DALLAS, TX 75201
(32.794627, -96.805188)",75201,6/28/2015 23:41,32.794627,-96.805188,Sunday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"13100 EMILY RD
DALLAS, TX 75240
(32.926313, -96.767387)",75240,7/24/2017 15:59,32.926313,-96.767387,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"12100 GREENVILLE AVE
DALLAS, TX 75243
(32.913683, -96.744911)",75243,9/12/2016 13:12,32.913683,-96.744911,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"334 S HALL ST
DALLAS, TX 75226
(32.782588, -96.778435)",75226,2/20/2018 11:17,32.782588,-96.778435,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2700 COMMUNITY DR
DALLAS, TX 75220
(32.857081, -96.874817)",75220,10/15/2014 17:21,32.857081,-96.874817,Wednesday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2017,"5300 ABRAMS RD
DALLAS, TX 75214
(32.850982, -96.752783)",75214,11/5/2017 19:09,32.850982,-96.752783,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"8200 MILITARY PKWY
DALLAS, TX 75227
(32.768795, -96.679709)",75227,9/29/2014 17:24,32.768795,-96.679709,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"11600 HARRY HINES BLVD
DALLAS, TX 75229
(32.904136, -96.893847)",75229,5/7/2015 1:34,32.904136,-96.893847,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"201 W 12TH ST
DALLAS, TX 75208
(32.741327, -96.825577)",75208,10/11/2014 11:46,32.741327,-96.825577,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7000 N CENTRAL EXPY
DALLAS, TX 75206
(32.850206, -96.771347)",75206,2/19/2018 9:08,32.850206,-96.771347,Monday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2017,"2207 E LEDBETTER DR
DALLAS, TX 75216
(32.687409, -96.787187)",75216,12/19/2017 10:53,32.687409,-96.787187,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"6234 PARKDALE DR
DALLAS, TX 75227
(32.771874, -96.712184)",75227,2/19/2018 5:02,32.771874,-96.712184,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5700 PINELANDDR
Dallas, TX 75231
(32.874505, -96.753438)",75231,9/2/2014 10:54,32.874505,-96.753438,Tuesday
ACCIDENTAL DEATH (NO OFFENSE),Apartment Residence,2015,"13323 MAHAM RD
DALLAS, TX 75240
(32.930274, -96.761193)",75240,2/3/2016 20:53,32.930274,-96.761193,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Single Family Residence - Occupied,2015,"2223 S BECKLEY AVE
DALLAS, TX 75224
(32.720697, -96.82287)",75224,2/18/2018 15:32,32.720697,-96.82287,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2016,"809 S RIVERFRONT BLVD
DALLAS, TX 75207
(32.767437, -96.806518)",75207,5/24/2016 22:33,32.767437,-96.806518,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"10206 ECHO RIDGE CT
DALLAS, TX 75243
(32.928431, -96.708505)",75243,12/1/2018 11:25,32.928431,-96.708505,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"700 S PEAK ST
DALLAS, TX 75223
(32.786775, -96.765278)",75223,5/22/2015 6:15,32.786775,-96.765278,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"100 E CLARENDON DR
DALLAS, TX 75203
(32.734442, -96.822755)",75203,12/11/2016 4:42,32.734442,-96.822755,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3000 N JIM MILLER RD
DALLAS, TX 75227
(32.763509, -96.70064)",75227,6/25/2015 1:25,32.763509,-96.70064,Thursday
ACCIDENTAL DEATH (NO OFFENSE),Other,2016,"1700 DALROCK RD
ROWLETT, TX 75088
(32.877802, -96.518267)",75088,3/14/2017 12:01,32.877802,-96.518267,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3200 FORT WORTH AVE
DALLAS, TX 75211
(32.754037, -96.872932)",75211,5/23/2017 11:01,32.754037,-96.872932,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"9600 GARLAND RD
DALLAS, TX 75218
(32.835538, -96.699857)",75218,12/19/2014 1:48,32.835538,-96.699857,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Motor Vehicle,2016,"10831 BRAVURA LN
DALLAS, TX 75217
(32.730039, -96.639974)",75217,7/5/2016 13:17,32.730039,-96.639974,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1700 N COCKRELL HILL RD
DALLAS, TX 75212
(32.768022, -96.895947)",75212,9/10/2014 7:53,32.768022,-96.895947,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"10500 SPANGLER RD
DALLAS, TX 75220
(32.86913, -96.913053)",75220,5/18/2016 10:51,32.86913,-96.913053,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2015,"2833 MARTIN LUTHER KING JR BLVD
DALLAS, TX 75215
(32.769912, -96.767502)",75215,5/20/2015 6:01,32.769912,-96.767502,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"3621 E OVERTON RD
DALLAS, TX 75216
(32.723777, -96.767613)",75216,10/14/2014 11:24,32.723777,-96.767613,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"2700 SAMUELL BLVD
DALLAS, TX 75223
(32.792976, -96.747552)",75223,10/13/2014 10:14,32.792976,-96.747552,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2400 W DAVIS ST
DALLAS, TX 75211
(32.749462, -96.856853)",75211,2/19/2018 0:51,32.749462,-96.856853,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3000 FOREST LN
DALLAS, TX 75234
(32.909545, -96.876275)",75234,2/2/2015 6:03,32.909545,-96.876275,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"8000 CF HAWN FWY
DALLAS, TX 75217
(32.715279, -96.685849)",75217,4/4/2017 11:45,32.715279,-96.685849,Tuesday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2017,"6631 HUNTERS RIDGE DR
DALLAS, TX 75248
(32.955796, -96.795516)",75248,11/20/2017 11:43,32.955796,-96.795516,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"3662 W CAMP WISDOM RD
DALLAS, TX 75237
(32.662038, -96.878952)",75237,9/22/2014 8:06,32.662038,-96.878952,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2100 W COLORADO BLVD
DALLAS, TX 75211
(32.76025, -96.857803)",75211,2/5/2015 0:50,32.76025,-96.857803,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2016,"3603 MARVIN D LOVE FWY
DALLAS, TX 75224
(32.700157, -96.837709)",75224,6/7/2016 3:45,32.700157,-96.837709,Tuesday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2016,"3200 DAWES DR
DALLAS, TX 75211
(32.727132, -96.872232)",75211,10/17/2016 9:35,32.727132,-96.872232,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"4000 S BUCKNER BLVD
DALLAS, TX 75227
(32.772876, -96.682638)",75227,2/15/2018 12:04,32.772876,-96.682638,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"300 N ZANG BLVD
DALLAS, TX 75208
(32.747702, -96.824518)",75208,2/19/2018 2:00,32.747702,-96.824518,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"7100 S R L THORNTON FWY
DALLAS, TX 75241
(32.661891, -96.822518)",75241,8/8/2015 11:42,32.661891,-96.822518,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1200 S BARRY AVE
DALLAS, TX 75223
(32.788617, -96.752574)",75223,11/15/2017 15:09,32.788617,-96.752574,Wednesday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2016,"1818 N WESTMORELAND RD
DALLAS, TX 75212
(32.768882, -96.873784)",75212,12/2/2016 15:42,32.768882,-96.873784,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,,2018,"1421 COCKRELL HILL RD
DALLAS, TX 75211
(32.761525, -96.894389)",75211,3/20/2018 19:17,32.761525,-96.894389,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2203 CHATHAM SQUARE CT
DALLAS, TX 75227
(32.750215, -96.647423)",75227,2/19/2018 17:45,32.750215,-96.647423,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5200 S POLK ST
DALLAS, TX 75232
(32.682253, -96.839946)",75232,2/16/2016 11:20,32.682253,-96.839946,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2622 MCCUTCHEON LN
DALLAS, TX 75227
(32.756479, -96.673528)",75227,10/9/2014 9:25,32.756479,-96.673528,Thursday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2015,"3714 ELSIE FAYE HEGGINS ST
DALLAS, TX 75210
(32.764009, -96.743401)",75210,12/10/2016 20:14,32.764009,-96.743401,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"600 W LEDBETTER DR
DALLAS, TX 75224
(32.690075, -96.831741)",75224,7/31/2017 11:11,32.690075,-96.831741,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7719 SEYDEL ST
DALLAS, TX 75217
(32.745376, -96.69008)",75217,10/15/2014 13:58,32.745376,-96.69008,Wednesday
